title,author,isbn,genre,mrp,price,condition,language,demandlevel,description
"Concepts of Physics Vol. 1","H.C. Verma","9788177091878","jee","525","230","Good","English","high","The definitive Physics textbook for JEE aspirants."
"Objective NCERT at your Fingertips for NEET - Biology","MTG Editorial Board","9789389590807","neet","850","400","Like New","English","high","Best book for NEET Biology preparation with chapter-wise MCQs."
"Quantitative Aptitude for Competitive Examinations","R.S. Aggarwal","9789352534029","banking","750","320","Acceptable","English","high","The ultimate quantitative aptitude book for IBPS, SBI PO, and other banking exams."
"Indian Polity - For Civil Services and Other State Examinations","M. Laxmikanth","9789352603633","upsc","895","450","Good","English","high","The 'Bible' for UPSC aspirants for Indian Polity."
"General Knowledge (Lucent's)","Dr. Binay Karna","9788192933566","ssc-railway","230","110","Good","English","high","Highly recommended for SSC CGL, CHSL, and RRB NTPC exams."
"Legal Aptitude and Legal Reasoning for the CLAT","A.P. Bhardwaj","9789332507315","clat","650","300","Good","English","medium","Crucial resource for law aspirants."
"Word Power Made Easy","Norman Lewis","9788183071000","banking","180","75","Acceptable","English","high","Essential for vocabulary building for Bank PO, SSC, and MBA entrance exams."
"A Brief History of Modern India","Rajiv Ahir (Spectrum)","9788179307212","upsc","415","190","Like New","English","high","Standard history text for UPSC civil services preliminary and main examinations."
"Fast Track Objective Arithmetic","Rajesh Verma","9789350942482","ssc-railway","450","210","Good","English","medium","Excellent for quick calculation methods required in SSC and Railway exams."
"Problems in General Physics","I.E. Irodov","9788183552158","jee","295","140","Good","English","high","Advanced physics problems for JEE Advanced preparation."
